Film-Clips,nr,start,end,start (msec),end (msec),start (frame),end (frame),
das_leben_ist_schoen,,01:49:30:03,01:56:56:00,,,164253,175400,
dead_man_walking,,01:38:38:16,01:47:11:20,,,147966,160795,
der_club_der_toten_dichter,,01:52:29:03,02:00:19:09,,,168728,180484,
dirty_dancing,,01:25:54:12,01:33:29:11,,,128862,140236,
forrest_gump_bluray (force 25fps),,00:02:07:10,00:11:47:10,,,3185,17685,melt haut in dritten screen den gleichen vorherigen rein
scream (2010),,00:00:16:20,00:07:34:01,,,420,11351,
scream (2002),,00:00:31:02,00:07:48:15,,,777,11715,
short_term_12,,00:24:03:22,00:26:15:19,,,,,
zwei_glohrreiche_halunken,,02:32:57:20,02:41:20:11,,,229445,242011,
,,,,,,,,
,,,,,,,,
Film-Snippets,,,,,,,,
gone_girl,1,02:00:26:18,02:01:20:16,7226720,7280640,180668,182016,
sieben,2,01:53:27:01,01:54:20:06,,,170176,171506,
the_sex_of_angels,3,00:35:59:14,00:36:34:10,,,53989,54860,
der_hobbit_3_part1,4,00:02:46:24,00:03:46:00,,,4174,5650,
lost_in_translation,5,01:28:51:07,01:29:52:08,,,133282,134808,
blau_ist_eine_warme_farbe #1,6,01:18:39:24,01:19:38:13,,,117999,119463,
star_wars_3_die_rache_der_sith,7,01:53:17:00,01:54:18:24,,,169925,171474,
short_term_12 #1,8,01:24:27:11,01:25:11:18,,,126686,127793,
shining,9,01:35:54:19,01:36:48:20,,,143875,145220,
harry_und_sally,10,00:44:46:00,00:45:32:13,,,67150,68313,
blau_ist_eine_warme_farbe #2,11,02:13:33:22,02:14:38:19,,,200347,201969,
short_term_12 #2,12,01:28:33:05,01:29:19:24,,,132830,133999,
